2025-11-01 19:13:43,181 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:13:45,694 - ERROR - Request failed (attempt 1/5): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-11-01 19:13:49,026 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:13:51,900 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:13:54,764 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:13:57,638 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:00,509 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:03,373 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:06,235 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:09,119 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:11,999 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:14,871 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:17,741 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:20,612 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:23,478 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:26,350 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:29,217 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:32,085 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:34,970 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:37,839 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:40,701 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:43,571 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:46,436 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:49,308 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:52,171 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:55,042 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:14:57,905 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:00,778 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:03,653 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:06,520 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:09,381 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:12,246 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:15,110 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:17,973 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:20,842 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:23,707 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:26,581 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:29,450 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:32,318 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:35,186 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:38,132 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:41,003 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:43,875 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:46,752 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:49,623 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:52,483 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:55,352 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:15:58,235 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:01,101 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:03,986 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:06,886 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:09,758 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:12,625 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:15,491 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:18,369 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:21,236 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:24,098 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:26,963 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:29,829 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:34,942 - INFO - Starting fetch for project: HADOOP
2025-11-01 19:16:35,882 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:38,501 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:41,128 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:43,745 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:46,365 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
